conversation,class
내가 찌를 사람 보여 봐 ? 저기 . 칼 좀 놓고 해요. 네?네 가 시키는 대로 해 좀 걔한서 떨어뜨려줘요 제발 닥치고 내 이나 들어! 아 알겠어요.제발. 거기 떨어진 이 쪽 던져이거요? 여기. 좋아. 그 으로 들어가 하지만 . 알겠어요.,협박 대화
"요즘에재밌는 영화 봤어추천 그거 좋겠다. ? 보인다!주말요즘 재밌는 영화 할? 재밌겠다!그건계획에 뭐 계획이야? 주말에영화뭐 같아 .이야? 요즘 드라마 영화.봤어? 재밌는고마워영화 봤어? 지내? 있어 보인다! 있잖아수생각? 봤어있어 그나저나좋은 뉴스 ?있구나 가자좋아 오늘 어땠어?좋아다음에보고같이어떤있어.어떻게 에 뭐 , 이야 궁금했었는데할 그런 방법도 해줄. 그렇게좋겠다그렇고, 뉴스 대해인어떻게 생각해? 옷생각하면 맞는좋겠다것새로같아어땠어 . ,, 뉴스에 관심 것? 재밌는 뭐 고마워 있어? 최근에 주말 책 읽었어요즘요즘요즘 할 봤어? 그거 . 오늘 계획??그거 .재밌는 산조언 .?",일반 대화
야 니가 내꺼 물건 가모 가져갔냐? 니가 그러고도 물 오빠 죄 기품 야? 아 모 왜 3 그럼 안됨? 가모 오빠가 물건 생활필수품 워드 좀 가져간다는데 어쩌라고 소득 입담 암소 원죄 진짜 젖소 사기꾼 죄 . 이거 금품갈취야 알아? 생활필수품 머래 오빠가 동생 물건 가축 가져가는게 왜 가모 책임 금품 턱 갈취야 엄마한테 다 말할거야. 소리 말해라 짜증나. 엄마 어머니 오빠가 내 물건 맘대로 말도 없이 가져가 머? 너 동생 귀 소지품 물건 돌려줘 흙덩이 . 그거 범죄야. 아니 엄마 그게 왜 범죄에요 생활필수품 . 그럴 수도 매 터 있죠. 너 앞으로 이빨 그러면 용돈 송곳니 없는줄 알어 네 물 그게 머에요 입담 . 이게 범죄라니.,갈취 대화
저 1000원만 주실 수 두고?네 ? 제가 왜요? 제가 버스비 없어서요 . 딱봐도.돈이신가것 갚으실건 1000원 없으세요? 지갑을 있나요이 와서요.저기 같은데가요? 네 알려주시면 갚을게요. 그래요성인요그러면 .여기있어요 감사합니다전화번호전화번호 안알려도망가요 어딜 줬는데?,갈취 대화
비행기 위급 환자가 생겼습니다. 과 피가 부족한 상태이오니 헌혈 . 보호자 환자 혈액형 뭐?형 입니다. 형 이에요. 승객분들 안내합니다. 혈액형은 분 중 형은 부탁드립니다. 의료진 있으니 제발 안심 와주세요. 제 동생 죽어요 . 혹시 가 형 이기는 한데 빈혈있는데 혹시 상황 생기 대처 불가능 거 같아요. 다른 분 십? 야!! 이 없을 리 없잖아 빨리 야 내가 니네 피 버린다 죽이기 에 빨리 나와 삼 분동안 아무도 안 나오면 앞에 죽여 버릴거야.아 보호자 분 못 있죠 진정하세요 그렇다고 될 없어요. 저것들 일부러 안 나오는거야 해결 할 없잖아 제발 진정하세요. 에가 찾아 보도록할게요 제발 제발 진정하세요. 칸에 형 나오기만 해봐 죽여. 피 한 도 안 나올 말려 . 아 비행기 창문 다 죽어버리게 만들거라고,협박 대화
택시 용호동가줘 네 아니 이쪽길 저리가야지 이길이 빠릅니다 손님 하. 내가 이 동네 년사는데 네 가고있어요 이새끼 더 받으려고 돌아가는거 보게 무슨 이세요 욕하지마세요 대가리 나빠서 기사 어디서 내리세요 돈안,기타 괴롭힘 대화
승미 매점가서 빵우유사와 빨리 근데 돈을줘야 사오지 야 장난 낮기전에알앗어 걸어다니지 미안해 여기 아놔 우유사오라니깐 흰우유사와 와라딸기가 없엇어 그럼 쵸코우유로 흑흑,기타 괴롭힘 대화
너네 부모님 일 ? 우리 부모님 떡볶이 가게 운영하셔엥? 그럼 한 달 이 얼마신데?한 300 할? 야 너 삼충이야? 가지고 일상생활 어떻게 해? 너 이야. 집 가지 . 삼백으로 만족한다니. 너네 아직도 삼백충인거야 몰라 300 여유로?도 다 도 밀리는거 없이 잘 로운. 얼마나 더 을 부려야 하는데? 아니고 순전히 궁금해서 물어본건데 음. 네집 되게 불행하다. 삼 부모님을 뒀는데 그 삼백에 애라니. 네집 망한다.말 좀 예쁘게 해. 우리 마. 진짜 용납 안 욕은너가 그러니까 아직도 삼따리 사는거야. 이제 봐봐 너 나이 먹으면 똑같이 삼 애 산다 백퍼센트.야야 갑자기 왜 싸워? 아니 네 부모님이 한 달에 삼백 버시는 삼백충이래잖아 그래서 내가 조언 하나 해준거 가지고 한다.야 해줘야지 맞는 했구만. 삼백충 거지랑 다름없지. 삼백 벌어서 뭐해먹고 사냐? 아니고 모래 먹어야,기타 괴롭힘 대화
야 김길동. 응? 야 이 새끼 소리 더듬는 것좀 봐 야. 그건 네가 기형인거냐. 니 엄마 유전인거냐? 하.하.하지마. 우.우리 어.엄만 건드리지마. 내가 전에 봤는데. 얘랑 얘네 엄마랑 똑같아 니 엄마도 불쌍하다. 니같은거 낳아서 그.그만해. 안.안.그럼 선생님한테. 소리.소리할거야 소리해봐. 소리해보라고 장애인아 놀아줬더니 기어오르네,기타 괴롭힘 대화
내 따님 가 너 딸 납치했다. 처녀 어디에요. 저희 딸 유괴 경관 살려주세요! 저희 현재 딸 죽이지말아주세요. 그럼 지하철 2호선에 5000만원 순사 놓고 탈 가. 그럼 내부 저희 딸 살려주시는 건가요? 언제까지 드리면 될까요? 지금 당장! 허튼생각하 처녀 면 니 딸 죽는거야 경찰한테 연락 안 따님 할게요. 저희 딸만 제발 따님 안전하게 살려주세요 처녀 너 유괴 처녀 순경 네 하는 처녀 따님 거 봐서,협박 대화
나 에 장난감 총 샀다 오 ? 한번 봐봐 멋있지? 이거 쏴보고 야 쟤한테 쏴 재밌겠다 야 너 서있어봐 응 ? 왜 .? 장난감 총 샀는데 너한테 써보려고 아 .그러지마 아프잖아 가 아파 장난감 가만히 있어 . 나 무서워,기타 괴롭힘 대화
아 네 안녕하세요! 가지고 폰 제 어디서 주웠는지 알 수 있을까요? 길동 횡단보도 앞에서 주웠는데요. 제 사거리 으로 가지러 가요?그렇게 쉽게 뭐 오는 전화 니까 중요한 50만원만 주세요 제 인데 돈 받아야 해 마시던가요 그냥 여기 에 빠트리 되는거죠?저 다음 날 회사 미팅 전화 올 거 있어서 그 필요해요. 제발 돌려주세요.그니까 보내라고. 50만원 보내는 어려워? 곧 . 돌려주시면 보내. 가 로 보이냐? 선 입금. 물품소에 두고 갈거니까 네. 말씀하신대로 할테니까 물품소에 해주세요.,갈취 대화
아회식 빠지면.알지? 저 오늘 그러니까생신이신데 회사 도빠질거면구걸?그렇게 은 아니구요.오늘나씨 회사 안봤는데 이기적이네? 가.애들 장난참나마 빠지고 출근 가.그냥 싶다고 하지 죄송합니다 참석하겠습니다. 이야 우리뒷전가이다하는 것말같네 신입그런요즘 하여간들은 왜어머니저러나 몰라.,직장 내 괴롭힘 대화
약을 먹고도 상태가 나아지지 약 치병 않아요. 약물 치병 이 채용 효과가 의약 없었나 봅니다 의약품 . 치병 다른 치료 치병 방법을 고려해 보겠습니다. 그럼 장기 어떤 치료를 받으면 좋을까요? 치병 좀 더 강력한 치료법을 사용하여 상태를 개선하겠습니다.,일반 대화
야 여동생 너 하천 동생 자폐라며 여동생 위배 아우 소지 누이동생 하는 짓이 얼마나 웃기던지 내 동생 어딨어! 제 내동생 인식 ! 어디있기는 여기 생방으로 턱 나가는 중이지 그만해 너 진짜 무사할 것 누이동생 같아? 제 풀 지금 너 나 협박하는거니? 너 국한 동생 목숨은 내손에 안쪽 달렸는데? 원하는게 뭐 누이동생 야 그렇지 그렇게 나와야지 내가 태도 원하는건 너 제 유괴 도 개울 알고 있을텐데? 뭐지 행실 매연 누이동생 .? 설마! 누이동생 아니 그것만은! 배경 안해주면 너 동생 내가 죽여 놈 버릴거야 아니 그것만은!,협박 대화
고객 미진 님 호텔 규정 얻 상 2시간이 늦게 나오셔서 아니 매연 내가 늦게 물 나오고 싶어서 그런것도 아닌데 좀 봐줘요 의견 아 일단 정해진 범위 체크아웃 시간을 국한 어기시면 인류 그다음 예약도 문제가 있어서 흙먼지 길 시기 공교육 청산 . 아니 나도 근래 깐 아는데 하루에 50만원 순간 짜리 방이 심판 서비스가 왜 조정 그래? 호텔 청산 규정상. 심판 쇠똥 앵무새같이 규정규정 난제 그러지말고 죄송합니다 아진짜 말 못알아먹네 내 제한 가 누군지 알아?어? .고객님 다른 분들도 있으니 목소리 낮춰주심. 야 진짜 너 오늘 교화 잘걸렸다 내가 평원 확정 진정한 방법 매듭 서비스가 먼지 교육 시켜줄게,기타 괴롭힘 대화
아까 10시 덮밥 시켰던 사람인데요 10시 벌써 4시간지났는데 무슨 일이신데 손님 그렇게 밖에 말을 ? 아닙니다 죄송합니다 오늘 스테이크에 제대로 된 쓰시 것 맞아요? 는 수입된 고기 납품 조리 있습니다. 고기가 너무 서 씹지도 못했어요. 이거 해주세요. 손님 배달 특성상 조리 후에 바로 배달 고기 상태가 시간이 흐름에 따라 저하 은 . 지금 말 다했어요 그리고 반 . 그럼 고객인 내가 못했다는 거에요? 이 안되겠네. 당장 본사에 전화하고 배민 고객센터에도 다 신고할거에요 이 바닥에서 장사 못 해 이제.,기타 괴롭힘 대화
에서 스트레스 진짜 쌓였어요. 요 그런 다 즐깁시다.그래요 술 마음이 가벼워지네요. 맞아요 이런 가 .,일반 대화
민주야 의 도 이 샌드위치 먹어볼래? 내가 집에서 아침 장난 기 에 만들어왔어. 우와 한 번 상담 먹어봐도 호흡 돼? 분간 헐 진짜 맛있다. 이 가상 거 무슨 샌드위치 득 야? 땅콩 샌드위치 땅콩 수고 잼이 가득 들어간 내부 현세 땅콩 샌드위치야 뭐라고.? 너 말씀 점검 내가 땅콩 먹으면 알레르기 생기는거 원칙 알잖아. 나 오늘 약도 안 가져왔단 말이야 취기 . 어떻게 켁. 할 가족 표식 . 속 거야. 어머 진짜 반응이 관념 한 번에 올라오네 시험 ? 뒤 뭐 그거 물 먹으면 금방 괜찮아지지 도 않을까? 아.니. 그럼. 내 매 고환 가 약을. 수고 왜 먹고. 땅콩을.왜 못 안쪽 연차 먹겠어. 너.하.나 테스트. 주 하려고.그런.거야.? 취기 뭐 테스트 법 라기 현재 보다는 용인 내가 간이검사? 해줬다고 긍정적으로 생각 길 해 악취 솔직히 몇 소피 년이 지났는데 내부 땅콩 수입 안쪽 알러지가 사라진지 내부 아닌지 법 대하 너 암소 도 궁금할거 아니야. 근데 뭐 반응 보니 아직까지 기억력 추상 있는거 노년기 같네 노년 . 검찰관 현세 너. 이거. 잘못되면. 나 진짜 죽 어. 나 . 시내 지금도. 숨 용수 .쉬기 . 힘들어. 땅콩 알러지 진짜 심하구나 이렇게 될지는 몰랐는데 어떡하냐 냄새 기 너 안쪽 약품 솔직히 시험 별로 기한 내부 안 심한데 턱 지금 꾀병 부리는거지 천추 ? 제.발. 이승 선생님이나. 신고 좀.해.줘 . 너가. 가족 그랬다고. 안. 그럴게.,기타 괴롭힘 대화
야!!.??너로테러를 사람딸 이 누구 ? 나하지하겠네몰라. 지금 말는 불구 평생 불구 얘.?? 할 꺼야.살아야그래도 딸도 가 진짜 몰라않으면말그래.말 나오겠다는니거지 안그럼 구 은.??주도한 말할께평생야.로 살아도 .????? 아.안 .내 딸만은 니!! 안할껀 딸말손톱 뽑아버려 할려만!! 오.? 그렇게잠야.?? 돼.,협박 대화
까지지난달먹여주고25 때 이제억이앞으로200월 100만원씩 . 저 이제 ? 알바하시네요시작했어요. 에은. 누굴 ? 키우는데 !푼인학비아돈지기다려주세요야 억! 줄알는 돈한두 비싼지누구등골이받으면서휘었어. 저살 다녔고 대학도 제가 모아 돈으로너갔어요 그게드니 주머니에서 내!왜인데!둔이젠 이나나온부모도 이겨먹으려고 그래. 고말대답 병원줬으니 모아서 드렸는데 ?달라 을고 하시니까. 내가 허튼대썼어막 나이. 여기저기 아프니까 자식한테 효도받은거지 버르장머리가 없어서 지금은 알바 공시붙을 다녀오신다고 . 멍청해가지고재워시험이나 붙겠어. 공장들어가서 따박따박닮았는지돈 가져와이렇게 정말 너무장학금까지만.,갈취 대화
시험인거 알지? 응 .그렇지 처럼 에도 한다 뭐.뭘 이야.?아니이이 시험 때 앞뒤 앉게 될텐데 니 먼저 고 답안 근데.이제는 그만하면 안될까 얘가 헛소리 ? 야 너 잊었냐? 너 아빠 우리 회사 직원이잖아 효도해야지 안그래?제발 우리 만은 해고시키지 말아줘야 니가 하는 거에 따라 달렸지 부탁한다? .알겠어,기타 괴롭힘 대화
아 여보세요? 어 형사 만이야 나 인데 기억?누구세요 하하 기억 못해 니 감방에 든 용건만 말해 니 딸 올해 대학들어갔더더라? 공부도 잘해서 서울로 갔던데 아주 딸하고 떨어져 우리 장형사 속상해서 내 손대지마 누구 인생 이렇게 으로 일궈놓으면 경고했다 가 내가 똑같이 네 딸 망가뜨릴거 두고봐 마침 내 중국 장기 매매 브로커가 야 끊지마 끊지말라고 !,협박 대화
"안녕하세요 몇에.문의했던 증빙입니다하나요 아, 네을김민수안녕하세요. 자료 받으셔도해보셨나요? 네, 잘지난번봤습니다. 궁금한 점이 가지 있어서요.목록어떤 부분해드릴 궁금하신가요?에서보험 가입 시,필요한 서류되고어디어떤가것들인지 알고 건강검진 신분증, 서 제휴건강검진, 그리고 받아야 보내 필요합니다. 싶습니다은 .? 일반 , 된 이,이저희가 제휴검토 병원. 안내 수도 있습니다.?제휴 병원가 인지 알려주실 수 있을까요소득 네종합병원어디서이메일로.결과 병원 서류드리겠습니다",일반 대화
지연아 어디가? 응 일 있어야해일이야이야 오늘 노래방온데가자에가남자 애너도? 이야 무슨 오늘 일찍 너가꼭무슨 왜같이있어야무슨 인데? 들가안 내가빛이나거든 돼뜻들어가야해 가 무슨 이긴나집너가못생겼으니깐 같이있어야그게내 심하다 뜻? 말이너무뜻돋보인단!,기타 괴롭힘 대화
도대체 무인 왜 그러는거야? 내가 조짐 초빙 뭘? 한밤중에 상대 세월 카톡에 강제 초대해서 죽은 동물 반향 사진 보내고 욕설 보내고. 제발 그만해. 대천 무슨 소리야? 우리 세월 가 그랬다는 증거 있어? 대장부 당대 맞아 징후 너 되게 웃긴다. 증거 있냐고. 너 시간 네가 지금 날 초대장 이렇게 연대 괴롭히는 게 증거 아냐? 너네 나 싫어하잖아. 증상 네가 싫은 기적 건 표지 맞는데 카톡으로 그런 적 없다니까. 그럼 너네 표식 말고 누가 그랬다는건데? 요즈음 우리가 그랬다는 증거 없으면 저 사람 몰아가지마. 그 맞아. 재수없어.,기타 괴롭힘 대화
비대리 피곤했나봐보이는 부장아 아닙니다 말 아니긴 낯빛.? 어두운데? 흠 그런가요해서이 아 비대리 오늘.? 안.! 그런가? . 넵.어제 비대 생얼이랑 많이 . 님혹시 이 너무 아닌가요.? ! 이 심하긴아눈에 화장리도걸 얘기한건데?난 비대리가심하신거걱정돼서 그러지 아 다르네말넵 알겠습니다,기타 괴롭힘 대화
"주말에 뭐했어? 다음에 같이 가자. 오늘 아침에, 연애 추천해줄 수 있어? 진짜 그래? 그래서 말인데, 요즘 연애 관련해서 뭐 재밌는 거 있었어? 재밌겠다! 맞아, 나도 그랬어. 그럴 수 있지. 이번에, 연애에 대해 어떻게 생각해? 좋아 보인다! 그런 방법도 있구나. 그럴 수 있지. 아까 얘기 중에, 연애 추천해줄 수 있어? 궁금했었는데, 고마워. 그건 그렇고, 연애에 대해 어떻게 생각해? 아, 그랬구나. 내일 뭐해? 조언 고마워. 그래서 말이야, 연애에 대해 어떻게 생각해? 근래에 어떤 책 읽었어? 새로 산 물건 있어? 이번 여름 휴가 계획 있어? 근래에 어떤 책 읽었어? 맞아, 나도 그랬어.",일반 대화
.!! 빵셔틀 1 김빵맨. 지금 시간 10분 매점 달려가 피자빵 있겠나 저.근데.나 용돈이 다 떨어졌어 야.어.??? 그럼 빌려서라도 와야될 것 아니야.미.미안못 것 같아 . .??제발.못.,갈취 대화
민구야 무슨일이야 나 대전 할머니 뵈러 가야하는데 차비가 없어 어?? 니 어플로 표좀 끊어줘 어 나한테 돈 줄거야? 아니 나 돈 없다니까???? 그럼 나는 그돈어디서 나서? 야 너 돈 많잖아 니네즙액 사거리 제일 큰 국밥집해서 손님이 끊이지 않는다더마 그게 너랑 무슨.상관이야 아 이새끼 답답해서 돌겠네 얼른 끊어 짜증나게 하지말고 쳐맞고 끊을래?,갈취 대화
음료 이 너무 있었어요. 죄송합니다 주문 시 얼음 양을 조절해야 실수가 다시 새 를 수 있나요네 음료 준비 보내드리겠습니다.,일반 대화
아저씨 얼마 있어요왜 그러니? 학생. 아니 제가 돈 그런데 만 빌려주세요. 학생. 미안한데 학생 줄 돈 없어. 아니 씨발 아저씨 돈 좀 달라니까 학생 이러는 거 자네 부모님도 아시? 아저씨 쳐맞고 싶어요? 이러는 거 옳지 않아 나 무서울 거 없으니까. 빨리.아. 줄테니까 들 괴롭히지 말아라.,갈취 대화
우리 반가운 사이는 아니지? 이렇게 찾아오고 하시면가방안되는 일단 아시죠가방생각저 거에요. 뭐 내가이씨했니 때리기를 ? 협박이라도 상간? 만나면 조강지처는녀신고 ? 내? 남편이상간녀 왔다고 한할구도 아니고 조용히만나러민 만나러 ? 했는데. 무슨일이시내? 뭐에요딴건 아니고. 내하는거야가만히했니 해 보니까 너하세요그 그거 한무슨번 줘봐.내 아까워서 가방은 왜? 그거 내 남편이 사준거더라.당해야 가괜찮은데로 그렇게 말씀 가 는거 줘봐로. 맞네. 이거 카드로 거더라너. 아니 지금 무슨 말씀 하시는 거 ?것긁은내신고 그 쓰레기 데려가는건내증거 죠 카드봐 긁은 왔다고은 갑자기..그러니까거 가가 가져갈께. 뭐라고요?,갈취 대화
나 눈에 띄기만 하면 라 그런줄알아. 아니 게 대화는 해봐야죠 뭐하러 가 쓸데없는버릴거니까 새끼해바로 쓸데없는 그래도 아니라니까요. 좀.나 하겠고그 얘기 인정말못그런줄 보이는 순간 ..죽여버릴꺼야. 거말 아무튼 들어봐요. .그말을 들어 누구 얘기듣고 그러는 지아니몰라도 안되는 건 안되는 아니 이아니니까 맞는는거죽여고요.거야맞든 아니든 새끼는 싫고 내그런 한 알겠어요 장난게 알어무슨 .랑.,협박 대화
어허 황금에서 손을 떼시지? 이 녀석 총으로 나를 겨냥하다니 흐흐흐 아쉽지만 우린 여기서 헤어져야겠어 감히 나를 배신하다니! 금을 모조리 넘겨 이봐! 이러고도 무사할 것 같아? 개처럼 네 밑에서 고생한 대가로 이 정도 챙길 수 있잖아? 이런 배은망덕한.! 나라면 그 주둥이를 좀 더 조심해서 놀릴 거야 어서 금을 늑대 내! 크윽!,갈취 대화
야 니 나한테 잘했잖아 내놔 좀 아니지. 받아도 모자랄 판이야 하냐 돈 옷 살거니까 돼 나도 돈 없어. 이런 미친놈이 잘못 다 소문내버린다 만 미안해 내가 다 야 사과 으로 해 입터 거 다 소용없어진심이야. 내가 3만원마련해볼게거지냐? 누구 코에 붙여 가 없네 주용돈이 다음달에 들어와. 미안해.하 지금 내놓고 받으면 가져와라,갈취 대화
아내가 예쁘던데 누구세요?누군진 알거없고 내 대로 해 ? 그건 아내 험한 일이 생겨도 단말이냐 왜 제발 아내. 말 듣지 않으면 아내 목숨은 없어! 해볼테니 일주일 주세요 ! 거부하면 니 목숨은 없어질 알제발! 그것만은 .,협박 대화
하면서 네. 지금 가지 다 내나봐 요 그럼 지금 내일이냐???가진게 이거 뿐이에요. 다시한번 기회줄께 꺼내 진짜 없어요. 하이진짜. 알겠어요,갈취 대화
부장님 왜 ? 저 주 금요일날 연차 안돼 한참 땐데 저 사용 적 없잖아요신규가 무슨 연차를 눈치 더럽게 없어가지고. 무슨 말씀을 그렇게하세요 내가 말을 안하려고 했는데 씨는 일 못 너무하세요 일이라도 해야지,직장 내 괴롭힘 대화
잘 운세 생각해봐 이건 윈윈이야 소리 . 사내 당신은 가정 지키고 난 돈 벌 세대 수 있고. 마누라 이봐 이렇게 까지 해야 해? 범위 20억은 너무 간 하잖아. 20억? 당신 아내 가치 와 딸과의 이윤 과오 관계가 겨우 그 정도인가 보지 귀 ? 사악 소득 아니 이득 그 말이 아니잖아 싹수 . 한 번의 실수로 치루기에는 너무 큰 값이라고. 의 나 한 번의 실수? 어이가 기울기 사유 없군. 전조 우리가 가실 수집한 중앙부 증거만 총 20차례의 외도야 백금 체모 천추 동 . 당신이 정의의 며느리 사도라도 이자 유연 돼? 대체 이러는 복 이유가 뭐야? 그런 거 관심 알 없어. 난 돈만 벌면 동 액 돼. 당신이 운 없게도 내 타겟이 된 거고. 마음대로 해. 난 돈 없어. 따님 배 엄니 째겠다 형 덩이 이거군. 당신 집으로 내일 우편물이 하나 암소 집안 백금 갈거야. 치아 당신 딸 표정이 어떨까 손 ? 제발 그만해! 진정하고 경정 꿀벌 영문 이익 일단 정교 고령 대화부터 해보자고.,갈취 대화
내가 공항에 지금 폭탄을 시설했다 무슨말도안되는 소리를 하십니까 장난같나? 고객님 침착하시고 요구사항이 있으십니까? 요구사항?없는데? 고객님 폭탄을 시설하신 이유라도 있으십니까 이미 내가 원하던 날짜에 못떠나게됐어 고객님 최대한 원하시는 날짜로 예약해드리겠습니다. 벌써 비행기는 떠났다 버튼한번 누르면 끝이다 다 죽여버릴거야 고객님 진정하시고 요구사항을 말씀해주십시요,협박 대화
자네 사원 일 좀 업 더하는게 타 어떻겠나 일하 네? 저요 저 근무시간 끝나고 할일이 성능 있는데요 그래서 대신 싫다는 건가? 아니 제가 일을 비수 더 잘해내고 작업양도 기적 많은데 표제 대체 동생 소위 무엇을 더 사원 이 바라시는 건가 양여 요? 원칙 뭐 사원 어이구 이 엄니 단순한 놈아 니가 능력 비례 이 있으면 더 일을 책임감있게 피리 성 많이 해야지 표제 주 아니 그런법이 양여 어딨어요 혹시 나머지 직원들 평야 인맥으로 들어온거죠? 마침 자네 보다 조업 번 더 뛰어난 직원도 있고 해서 그런데 싫으면 나가시게 너무하신거 아닙니까? 자네 필요없으니 나가라니까 제가 어떻게 하면 되나요? 나가기 싫다면 일을 다른 직원보다 더 늘려 아우 아니 진짜,직장 내 괴롭힘 대화
야 김길동. 응? 야 엄마건드리지마말 더듬는 것좀 봐불쌍하다야 그건 가 기형 인거. 니말새끼 유전?냐냐 하인거하지마. 우 우리네어 만엄 안 말가 그만해에 한테. 얘랑.얘네 엄마도 똑같아 니 엄마낳아서 이. 니같은거 랑 그.전. 안..내그럼 선생님봤는데. . 말할거야 장애해봐. 말해보라고 .야 놀아줬더니 기어오르네,기타 괴롭힘 대화
허튼 짓하지마. 네. 허튼 짓하면 도자은 너 목에 들어간다. 살려주세요! 가만히 있으라고! 죄송해요. 소리 지르지마. 네. 기척이라도 나서 다른 사람 오기라도 하면 넌 죽이고 내가 도망친다. 죄송해요.,협박 대화
1억 준비해라 누구야? 너 지난 달에 한 거 다 알고 있다 사진도 있어 뭔소리야? 그래? 모른척 하겠다? 당신 뭐야? 사진 있다고 말했다. 1시간 안에 1억 준비안하면 니 마누라와 사단법인에 제보한다 도대체 왜 이러세요? 긴 말 안할테니 1시간 후에 놀이터에서 보자 여보세요? 여보세요?,갈취 대화
양대사 네? 양대사는 일처리가 왜 그모양이야 뭐가요 보고서를 내가 맡겼는데 너무 못쓰잖아 내가 발로 써도 이것보단 잘쓰겠어 전 최선을 다했습니다 최선을 다했는데 이따위라고? 죄송합니다 죄송하면 다야? 다시 해오겠습니다,직장 내 괴롭힘 대화
자꾸 이렇게 할 ? 너 죽고싶어 죄송합니다.내가 총 들고 다니는 거 알아 몰라? 그런데도 ? . 자꾸 그러면 쏴 줄 알아죄송합니다내가 못 쏠 것 같아? 아니요. 진짜 쏴서 버릴까? 너 하나쯤은 아. 아니요 죄송합니다,협박 대화
안녕. 너 길동 리포트 맞지? 네 맞는데요 무슨 일이시죠? 너 고초 의 자식을 내가 데리 자녀 고 표제 있다. 하라는 대로만 채비 하면 살려주지. 도시 백금 교분 네.? 아이고 이게 무슨 일이야. 장난 남자 아니고 실제 상황이다. 풍월 남동생 1억을 만들어와. 그런 속 미소 돈은 없는데요.제발 살려주세요 어떻게든 만들어오라고! 사채 노고 아이 를 쓰든 대출 교의 을 동생 하든 통로 고초 . 내일 12시 곤란 친분 속 까지 안 시내 미소 보내면 자식을 죽인다. 네 제가 어떻게든 마련을 해보겠습니다. 경찰에 백금 신고하려는 안쪽 허튼 매가 하 생각 하지마. 바로 백금 리포트 자 너 자식은 죽을테니까 알겠습니다 조금 일 평화 만 기다려주세요 법무부 .,갈취 대화
뭐하는 짓나와!! 비켜!!없다며미친거야? 뒤진다고 계신가 가뭐같아!!!! 그거야 모르는거지 안돼!!!! 돌려줘 집?에오늘버렸네도 없다며 근데이내가 뭘 뭣나올그건웃기 이건누구 걸까구석 하.! 그건그건안된다고 제발 돌려줘? .! 근데 그럼고 있네돌려죠돈 나올 가 비야 같냐며 제발 이야찾았네거네. 그건뭐병원에 !! 그건 아버지 수술 제발 돌려줘 !! 저녁까지 납부해야. 웃기지도 않는 소리하지마?확씨!! 내것 애비가 어딨어,갈취 대화
니 내 헛소문 벽에 붙이냐 배? 나 . 뿐문제타자가 정말 소문이거다났어손가락 에서도 나아니야앞그냥 너는 그 오해이 가 그렇지? 정말 나 아니야. 나는 그 에 서있었을아니긴이야 억울해 원래 까마귀친날자억울하겠네잡아싶은데 니입장에선 ? 근데 내치고나는아니야누구하나 잡아 족 떨어진다고 어떡하지?? 다진정해 그 너야 손가락이라도 입장 뽑아야 야이 맑아질 같은데 어쩌고 다녔냐정신 붙였다고 아니야,협박 대화
감히 날 종착역에 내리게 해 아니 여기서 내리시는 줄 알았습니다. 술취해서 자는 줄 누가 어떻게 알겠습니까. 어디서 버스 때사주제에 감히 뻔뻔하게 말대꾸야 아니 버스기사는 사람이 아니에요? 시민들을 위해 봉사하고 희생하는게 시내버스 기사야 임마 웃기고 자빠졌네 아무래도 당신과는 대화자체가 성립이 안되는 것 같네요. 이 미친놈이 넌 내가 손좀 봐줘야겠어 왜 때려요 때리지마요 이게 시민을 위해 봉사할줄도 모르고 눈을 멀게 해주겠어.,협박 대화
듣지김해와! 이리 박대봐! 잔말도부장알겠습니다.아닌가요무슨 일이세요? 파일네 내일까지 정리 . 들이건 박대리 업무가 좀저 이 처남인여기와 리가 과음해서 힘들다잖아해와 김대어제 대리. 저 오늘 업무가좀많아서요. 상사의 지시그럼 내어이않는거야? !?어.그런뜻이 아니라님 를리가 말고 정리 해와! 네. ..,직장 내 괴롭힘 대화
학생 저말이십니까? 내가 배가 고파서 그러는데 돈 좀있나? 아니요 없는데요 부모님한테 용돈 받은거 있을꺼 아니야 지금은 없습니다 뒤져서 나오면? 정말 없습니다 주머니 밖으로 보이는 흰색 약봉지는 뭐지? 그건 학원비인데요,갈취 대화
팀장님 저 이번주에 휴가좀 쓰겠습니다 갑자기왜? 집에 일이 있어서요. 그니까 그 일이 무슨일인데? 네?? 아니 윗분들원칙 자네가 무슨일때문에 휴가 썻냐고 물어보면 내가 대충 파악하고 있어야지 안그런가? 그래도. 개인사생활인데. 아니 누가 자네 사생활원칙 궁금해서 그래???? 어??? 왜이렇게 앞뒤가 막혓어? 죄송합니다. 어휴 죄송할 짓 하지나 말지 이렇게 답답하니까 자네가 아직도 말년대리 아닌가? 죄송합니다.,직장 내 괴롭힘 대화
